Date,Issue,Resolution,Downtime,Impact,Column 1,Column 2
2014,3,15,Database corruption,Full restore from backup,6 hours,Data loss
2015,6,22,System crash,Server restart,4 hours,Transaction loss
2016,9,30,Memory leak,Emergency patch,8 hours,Performance impact
2017,2,15,Network failure,Hardware replacement,12 hours,Complete outage
2018,7,20,Storage failure,Disk replacement,10 hours,Partial data loss
2019,11,5,Authentication system failure,System restore,6 hours,Access issues
2020,4,18,Database index corruption,Index rebuild,8 hours,Query failures
2021,8,30,Report engine crash,Service restart,5 hours,Report backlog
2022,1,15,Backup system failure,Hardware upgrade,4 hours,Backup gap
2023,5,22,Security breach attempt,Emergency patches,12 hours,System lockdown
2024,10,8,Complete system failure,Full system restore,24 hours,Business halt
